Ativo;Strike;Vencimento
BOVA11F;0.0;31/12/1969
BOVAR70;70.0;15/06/2020
BOVAR68;68.0;15/06/2020
BOVAS70;70.0;20/07/2020
BOVAS65;65.0;20/07/2020
BOVAS60;60.0;20/07/2020
BOVAU68;68.0;21/09/2020
BOVAI87;87.0;15/09/2023
BOVAI875;87.5;15/09/2023
BOVAI876;89.0;15/09/2023
BOVAI88;104.0;15/09/2023
BOVAI885;88.5;15/09/2023
BOVAI89;106.0;15/09/2023
BOVAI895;89.5;15/09/2023
BOVAI900;90.0;15/09/2023
BOVAI905;90.5;15/09/2023
BOVAI910;91.0;15/09/2023
BOVAI915;91.5;15/09/2023
BOVAI920;92.0;15/09/2023
BOVAI925;92.5;15/09/2023
BOVAI930;93.0;15/09/2023
BOVAI935;93.5;15/09/2023
BOVAI940;94.0;15/09/2023
BOVAI945;94.5;15/09/2023
BOVAI955;95.5;15/09/2023
BOVAI960;96.0;15/09/2023
BOVAI970;97.0;15/09/2023
BOVAU104;116.0;15/09/2023
BOVAU118;118.0;15/09/2023
BOVAI867;88.0;15/09/2023
BOVAI865;86.5;15/09/2023
BOVAI84;102.0;15/09/2023
BOVAI845;84.5;15/09/2023
BOVAI118;118.0;15/09/2023
BOVAI120;128.0;15/09/2023
BOVAI122;122.0;15/09/2023
BOVAI124;124.0;15/09/2023
BOVAI126;132.0;15/09/2023
BOVAI127;136.0;15/09/2023
BOVAI134;134.0;15/09/2023
BOVAI136;144.0;15/09/2023
BOVAI137;142.0;15/09/2023
BOVAI138;138.0;15/09/2023
BOVAI140;146.0;15/09/2023
BOVAI141;148.0;15/09/2023
BOVAI152;152.0;15/09/2023
BOVAI153;156.0;15/09/2023
BOVAI154;154.0;15/09/2023
BOVAI156;158.0;15/09/2023
BOVAI162;162.0;15/09/2023
BOVAI164;164.0;15/09/2023
BOVAI815;81.5;15/09/2023
BOVAI825;82.5;15/09/2023
BOVAI835;83.5;15/09/2023
BOVAU119;126.0;15/09/2023
BOVAI844;86.0;15/09/2023
BOVAI855;85.5;15/09/2023
BOVAU120;128.0;15/09/2023
BOVAU127;136.0;15/09/2023
BOVAU124;124.0;15/09/2023
BOVAU885;88.5;15/09/2023
BOVAU89;106.0;15/09/2023
BOVAU895;89.5;15/09/2023
BOVAU900;90.0;15/09/2023
BOVAU905;90.5;15/09/2023
BOVAU910;91.0;15/09/2023
BOVAU915;91.5;15/09/2023
BOVAU920;92.0;15/09/2023
BOVAU925;92.5;15/09/2023
BOVAU930;93.0;15/09/2023
BOVAU935;93.5;15/09/2023
BOVAU940;94.0;15/09/2023
BOVAU945;94.5;15/09/2023
BOVAU955;95.5;15/09/2023
BOVAU970;97.0;15/09/2023
BOVAU159;160.0;15/09/2023
BOVAU43;103.0;15/09/2023
BOVAU990;99.0;15/09/2023
BOVAI43;103.0;15/09/2023
BOVAU149;150.0;15/09/2023
BOVAU114;115.0;15/09/2023
BOVAU995;99.5;15/09/2023
BOVAU39;101.0;15/09/2023
BOVAU88;104.0;15/09/2023
BOVAU122;122.0;15/09/2023
BOVAU876;89.0;15/09/2023
BOVAU87;87.0;15/09/2023
BOVAU126;132.0;15/09/2023
BOVAI104;116.0;15/09/2023
BOVAU134;134.0;15/09/2023
BOVAU136;144.0;15/09/2023
BOVAU137;142.0;15/09/2023
BOVAU138;138.0;15/09/2023
BOVAU140;146.0;15/09/2023
BOVAU141;148.0;15/09/2023
BOVAU152;152.0;15/09/2023
BOVAU153;156.0;15/09/2023
BOVAU154;154.0;15/09/2023
BOVAU156;158.0;15/09/2023
BOVAU162;162.0;15/09/2023
BOVAU164;164.0;15/09/2023
BOVAU815;81.5;15/09/2023
BOVAU825;82.5;15/09/2023
BOVAU835;83.5;15/09/2023
BOVAU84;102.0;15/09/2023
BOVAU844;86.0;15/09/2023
BOVAU845;84.5;15/09/2023
BOVAU855;85.5;15/09/2023
BOVAU865;86.5;15/09/2023
BOVAU867;88.0;15/09/2023
BOVAU875;87.5;15/09/2023
BOVAI995;99.5;15/09/2023
BOVAI39;101.0;15/09/2023
BOVAI880;80.0;15/09/2023
BOVAI860;76.0;15/09/2023
BOVAI870;78.0;15/09/2023
BOVAU720;72.0;15/09/2023
BOVAI890;79.0;15/09/2023
BOVAU820;82.0;15/09/2023
BOVAU830;83.0;15/09/2023
BOVAU840;84.0;15/09/2023
BOVAU850;85.0;15/09/2023
BOVAI980;98.0;15/09/2023
BOVAU70;117.0;15/09/2023
BOVAU860;76.0;15/09/2023
BOVAU880;80.0;15/09/2023
BOVAU890;79.0;15/09/2023
BOVAU700;70.0;15/09/2023
BOVAU650;65.0;15/09/2023
BOVAU600;60.0;15/09/2023
BOVAI114;115.0;15/09/2023
BOVAI990;99.0;15/09/2023
BOVAI70;117.0;15/09/2023
BOVAI770;77.0;15/09/2023
BOVAI850;85.0;15/09/2023
BOVAI830;83.0;15/09/2023
BOVAI108;108.0;15/09/2023
BOVAI110;110.0;15/09/2023
BOVAU108;108.0;15/09/2023
BOVAU110;110.0;15/09/2023
BOVAI113;114.0;15/09/2023
BOVAU113;114.0;15/09/2023
BOVAI950;95.0;15/09/2023
BOVAU107;111.0;15/09/2023
BOVAI840;84.0;15/09/2023
BOVAI102;113.0;15/09/2023
BOVAI107;111.0;15/09/2023
BOVAU770;77.0;15/09/2023
BOVAI25;125.0;15/09/2023
BOVAI119;126.0;15/09/2023
BOVAU25;125.0;15/09/2023
BOVAU750;75.0;15/09/2023
BOVAU980;98.0;15/09/2023
BOVAI820;82.0;15/09/2023
BOVAU102;113.0;15/09/2023
BOVAU950;95.0;15/09/2023
BOVAI750;75.0;15/09/2023
BOVAI700;70.0;15/09/2023
BOVAU112;112.0;15/09/2023
BOVAI720;72.0;15/09/2023
BOVAI75;119.0;15/09/2023
BOVAI109;135.0;15/09/2023
BOVAU105;105.0;15/09/2023
BOVAU95;100.0;15/09/2023
BOVAI147;147.0;15/09/2023
BOVAI112;112.0;15/09/2023
BOVAI105;105.0;15/09/2023
BOVAI95;100.0;15/09/2023
BOVAU100;129.0;15/09/2023
BOVAI100;129.0;15/09/2023
BOVAI600;60.0;15/09/2023
BOVAU960;96.0;15/09/2023
BOVAU870;78.0;15/09/2023
BOVAU147;147.0;15/09/2023
BOVAI159;160.0;15/09/2023
BOVAI83;123.0;15/09/2023
BOVAI149;150.0;15/09/2023
BOVAU97;133.0;15/09/2023
BOVAU92;131.0;15/09/2023
BOVAU86;127.0;15/09/2023
BOVAI97;133.0;15/09/2023
BOVAI92;131.0;15/09/2023
BOVAU109;135.0;15/09/2023
BOVAI650;65.0;15/09/2023
BOVAI86;127.0;15/09/2023
BOVAI50;109.0;15/09/2023
BOVAU76;121.0;15/09/2023
BOVAI76;121.0;15/09/2023
BOVAU48;107.0;15/09/2023
BOVAI48;107.0;15/09/2023
BOVAU83;123.0;15/09/2023
BOVAU75;119.0;15/09/2023
BOVAU50;109.0;15/09/2023
BOVAV108;108.0;20/10/2023
BOVAV140;140.0;20/10/2023
BOVAV115;115.0;20/10/2023
BOVAJ138;138.0;20/10/2023
BOVAV211;112.0;20/10/2023
BOVAV138;138.0;20/10/2023
BOVAJ107;109.0;20/10/2023
BOVAV65;65.0;20/10/2023
BOVAJ101;104.0;20/10/2023
BOVAV70;70.0;20/10/2023
BOVAV72;72.0;20/10/2023
BOVAV75;75.0;20/10/2023
BOVAJ900;90.0;20/10/2023
BOVAV80;80.0;20/10/2023
BOVAV820;82.0;20/10/2023
BOVAV840;84.0;20/10/2023
BOVAV860;86.0;20/10/2023
BOVAV880;88.0;20/10/2023
BOVAV890;89.0;20/10/2023
BOVAV900;90.0;20/10/2023
BOVAJ890;89.0;20/10/2023
BOVAJ880;88.0;20/10/2023
BOVAJ860;86.0;20/10/2023
BOVAJ840;84.0;20/10/2023
BOVAJ820;82.0;20/10/2023
BOVAJ80;80.0;20/10/2023
BOVAV101;104.0;20/10/2023
BOVAJ120;120.0;20/10/2023
BOVAV120;120.0;20/10/2023
BOVAJ91;100.0;20/10/2023
BOVAV91;100.0;20/10/2023
BOVAJ100;107.0;20/10/2023
BOVAV107;109.0;20/10/2023
BOVAV100;107.0;20/10/2023
BOVAJ60;60.0;20/10/2023
BOVAJ65;65.0;20/10/2023
BOVAJ70;70.0;20/10/2023
BOVAJ72;72.0;20/10/2023
BOVAJ75;75.0;20/10/2023
BOVAJ77;77.0;20/10/2023
BOVAV60;60.0;20/10/2023
BOVAV77;77.0;20/10/2023
BOVAJ850;85.0;20/10/2023
BOVAV112;114.0;20/10/2023
BOVAV895;89.5;20/10/2023
BOVAV885;88.5;20/10/2023
BOVAV875;87.5;20/10/2023
BOVAV870;87.0;20/10/2023
BOVAV87;101.0;20/10/2023
BOVAV865;86.5;20/10/2023
BOVAV855;85.5;20/10/2023
BOVAV845;84.5;20/10/2023
BOVAV835;83.5;20/10/2023
BOVAV830;83.0;20/10/2023
BOVAV825;82.5;20/10/2023
BOVAV815;81.5;20/10/2023
BOVAV163;163.0;20/10/2023
BOVAV161;161.0;20/10/2023
BOVAV159;159.0;20/10/2023
BOVAV157;157.0;20/10/2023
BOVAV155;155.0;20/10/2023
BOVAV127;127.0;20/10/2023
BOVAV129;129.0;20/10/2023
BOVAV131;131.0;20/10/2023
BOVAV133;133.0;20/10/2023
BOVAV135;135.0;20/10/2023
BOVAV137;137.0;20/10/2023
BOVAV90;103.0;20/10/2023
BOVAV139;139.0;20/10/2023
BOVAV143;143.0;20/10/2023
BOVAV145;145.0;20/10/2023
BOVAV147;147.0;20/10/2023
BOVAV149;149.0;20/10/2023
BOVAV151;151.0;20/10/2023
BOVAV153;153.0;20/10/2023
BOVAV141;141.0;20/10/2023
BOVAJ112;114.0;20/10/2023
BOVAV905;90.5;20/10/2023
BOVAV910;91.0;20/10/2023
BOVAJ211;112.0;20/10/2023
BOVAJ115;115.0;20/10/2023
BOVAJ62;122.0;20/10/2023
BOVAJ67;124.0;20/10/2023
BOVAV118;118.0;20/10/2023
BOVAV62;122.0;20/10/2023
BOVAV995;99.5;20/10/2023
BOVAV67;124.0;20/10/2023
BOVAJ49;116.0;20/10/2023
BOVAV29;106.0;20/10/2023
BOVAV49;116.0;20/10/2023
BOVAJ114;117.0;20/10/2023
BOVAV950;95.0;20/10/2023
BOVAJ118;118.0;20/10/2023
BOVAJ29;106.0;20/10/2023
BOVAV125;125.0;20/10/2023
BOVAV990;99.0;20/10/2023
BOVAV980;98.0;20/10/2023
BOVAV915;91.5;20/10/2023
BOVAV920;92.0;20/10/2023
BOVAV925;92.5;20/10/2023
BOVAV93;102.0;20/10/2023
BOVAV930;93.0;20/10/2023
BOVAV935;93.5;20/10/2023
BOVAV985;98.5;20/10/2023
BOVAV940;94.0;20/10/2023
BOVAV955;95.5;20/10/2023
BOVAV960;96.0;20/10/2023
BOVAV965;96.5;20/10/2023
BOVAV970;97.0;20/10/2023
BOVAV975;97.5;20/10/2023
BOVAV98;105.0;20/10/2023
BOVAV945;94.5;20/10/2023
BOVAV123;123.0;20/10/2023
BOVAJ108;108.0;20/10/2023
BOVAV117;119.0;20/10/2023
BOVAJ825;82.5;20/10/2023
BOVAJ815;81.5;20/10/2023
BOVAJ163;163.0;20/10/2023
BOVAJ161;161.0;20/10/2023
BOVAJ159;159.0;20/10/2023
BOVAJ157;157.0;20/10/2023
BOVAJ155;155.0;20/10/2023
BOVAJ153;153.0;20/10/2023
BOVAJ151;151.0;20/10/2023
BOVAJ149;149.0;20/10/2023
BOVAJ147;147.0;20/10/2023
BOVAJ145;145.0;20/10/2023
BOVAJ143;143.0;20/10/2023
BOVAV121;121.0;20/10/2023
BOVAJ139;139.0;20/10/2023
BOVAJ137;137.0;20/10/2023
BOVAJ135;135.0;20/10/2023
BOVAJ140;140.0;20/10/2023
BOVAV850;85.0;20/10/2023
BOVAJ103;110.0;20/10/2023
BOVAV103;110.0;20/10/2023
BOVAJ105;111.0;20/10/2023
BOVAJ113;113.0;20/10/2023
BOVAJ830;83.0;20/10/2023
BOVAJ117;119.0;20/10/2023
BOVAJ123;123.0;20/10/2023
BOVAJ125;125.0;20/10/2023
BOVAJ127;127.0;20/10/2023
BOVAJ129;129.0;20/10/2023
BOVAJ131;131.0;20/10/2023
BOVAJ133;133.0;20/10/2023
BOVAJ121;121.0;20/10/2023
BOVAJ835;83.5;20/10/2023
BOVAJ141;141.0;20/10/2023
BOVAJ925;92.5;20/10/2023
BOVAJ920;92.0;20/10/2023
BOVAJ970;97.0;20/10/2023
BOVAV113;113.0;20/10/2023
BOVAV105;111.0;20/10/2023
BOVAJ995;99.5;20/10/2023
BOVAJ990;99.0;20/10/2023
BOVAJ985;98.5;20/10/2023
BOVAJ980;98.0;20/10/2023
BOVAJ915;91.5;20/10/2023
BOVAJ98;105.0;20/10/2023
BOVAJ930;93.0;20/10/2023
BOVAJ935;93.5;20/10/2023
BOVAJ940;94.0;20/10/2023
BOVAJ945;94.5;20/10/2023
BOVAJ950;95.0;20/10/2023
BOVAJ955;95.5;20/10/2023
BOVAJ960;96.0;20/10/2023
BOVAJ965;96.5;20/10/2023
BOVAJ93;102.0;20/10/2023
BOVAJ910;91.0;20/10/2023
BOVAJ975;97.5;20/10/2023
BOVAJ90;103.0;20/10/2023
BOVAJ845;84.5;20/10/2023
BOVAV114;117.0;20/10/2023
BOVAJ905;90.5;20/10/2023
BOVAJ865;86.5;20/10/2023
BOVAJ87;101.0;20/10/2023
BOVAJ870;87.0;20/10/2023
BOVAJ875;87.5;20/10/2023
BOVAJ855;85.5;20/10/2023
BOVAJ895;89.5;20/10/2023
BOVAJ885;88.5;20/10/2023
BOVAW119;122.0;17/11/2023
BOVAK117;119.0;17/11/2023
BOVAK118;118.0;17/11/2023
BOVAK119;122.0;17/11/2023
BOVAK121;121.0;17/11/2023
BOVAK122;124.0;17/11/2023
BOVAK123;123.0;17/11/2023
BOVAW104;111.0;17/11/2023
BOVAW107;114.0;17/11/2023
BOVAW111;116.0;17/11/2023
BOVAW113;113.0;17/11/2023
BOVAW114;117.0;17/11/2023
BOVAW117;119.0;17/11/2023
BOVAW118;118.0;17/11/2023
BOVAW121;121.0;17/11/2023
BOVAW890;89.0;17/11/2023
BOVAW123;123.0;17/11/2023
BOVAK114;117.0;17/11/2023
BOVAK85;106.0;17/11/2023
BOVAK79;107.0;17/11/2023
BOVAW125;125.0;17/11/2023
BOVAK125;125.0;17/11/2023
BOVAW990;99.0;17/11/2023
BOVAW980;98.0;17/11/2023
BOVAW970;97.0;17/11/2023
BOVAW960;96.0;17/11/2023
BOVAW870;87.0;17/11/2023
BOVAW122;124.0;17/11/2023
BOVAW87;104.0;17/11/2023
BOVAW73;102.0;17/11/2023
BOVAK990;99.0;17/11/2023
BOVAK980;98.0;17/11/2023
BOVAK960;96.0;17/11/2023
BOVAW79;107.0;17/11/2023
BOVAK870;87.0;17/11/2023
BOVAK87;104.0;17/11/2023
BOVAK83;103.0;17/11/2023
BOVAK73;102.0;17/11/2023
BOVAW83;103.0;17/11/2023
BOVAK113;113.0;17/11/2023
BOVAK115;115.0;17/11/2023
BOVAK107;114.0;17/11/2023
BOVAK80;80.0;17/11/2023
BOVAK820;82.0;17/11/2023
BOVAK840;84.0;17/11/2023
BOVAK860;86.0;17/11/2023
BOVAK880;88.0;17/11/2023
BOVAK890;89.0;17/11/2023
BOVAK900;90.0;17/11/2023
BOVAW60;60.0;17/11/2023
BOVAW65;65.0;17/11/2023
BOVAW70;70.0;17/11/2023
BOVAW72;72.0;17/11/2023
BOVAW75;75.0;17/11/2023
BOVAW77;77.0;17/11/2023
BOVAW80;80.0;17/11/2023
BOVAW840;84.0;17/11/2023
BOVAW860;86.0;17/11/2023
BOVAW880;88.0;17/11/2023
BOVAK77;77.0;17/11/2023
BOVAK111;116.0;17/11/2023
BOVAK75;75.0;17/11/2023
BOVAK70;70.0;17/11/2023
BOVAK104;111.0;17/11/2023
BOVAW950;95.0;17/11/2023
BOVAW140;140.0;17/11/2023
BOVAW120;120.0;17/11/2023
BOVAK950;95.0;17/11/2023
BOVAK140;140.0;17/11/2023
BOVAK120;120.0;17/11/2023
BOVAW103;108.0;17/11/2023
BOVAK103;108.0;17/11/2023
BOVAW105;105.0;17/11/2023
BOVAK105;105.0;17/11/2023
BOVAW115;115.0;17/11/2023
BOVAW112;112.0;17/11/2023
BOVAW900;90.0;17/11/2023
BOVAK112;112.0;17/11/2023
BOVAK60;60.0;17/11/2023
BOVAK65;65.0;17/11/2023
BOVAK72;72.0;17/11/2023
BOVAW820;82.0;17/11/2023
BOVAW85;106.0;17/11/2023
BOVAK970;97.0;17/11/2023
BOVAK99;100.0;17/11/2023
BOVAK101;101.0;17/11/2023
BOVAW101;101.0;17/11/2023
BOVAW99;100.0;17/11/2023
BOVAX43;143.0;15/12/2023
BOVAX25;125.0;15/12/2023
BOVAX26;126.0;15/12/2023
BOVAX28;128.0;15/12/2023
BOVAX29;129.0;15/12/2023
BOVAX31;131.0;15/12/2023
BOVAX660;66.0;15/12/2023
BOVAX46;146.0;15/12/2023
BOVAX53;153.0;15/12/2023
BOVAX49;149.0;15/12/2023
BOVAX23;123.0;15/12/2023
BOVAX34;134.0;15/12/2023
BOVAX35;135.0;15/12/2023
BOVAX37;137.0;15/12/2023
BOVAX40;140.0;15/12/2023
BOVAX32;132.0;15/12/2023
BOVAX195;195.0;15/12/2023
BOVAX189;189.0;15/12/2023
BOVAX72;72.0;15/12/2023
BOVAX138;138.0;15/12/2023
BOVAX14;114.0;15/12/2023
BOVAX140;145.0;15/12/2023
BOVAX141;141.0;15/12/2023
BOVAX144;144.0;15/12/2023
BOVAX147;147.0;15/12/2023
BOVAX15;150.0;15/12/2023
BOVAX152;152.0;15/12/2023
BOVAX155;155.0;15/12/2023
BOVAX161;161.0;15/12/2023
BOVAX165;165.0;15/12/2023
BOVAX17;117.0;15/12/2023
BOVAX171;171.0;15/12/2023
BOVAX177;177.0;15/12/2023
BOVAX183;183.0;15/12/2023
BOVAX19;119.0;15/12/2023
BOVAX78;78.0;15/12/2023
BOVAL935;93.5;15/12/2023
BOVAX820;82.0;15/12/2023
BOVAX825;65.0;15/12/2023
BOVAL113;113.0;15/12/2023
BOVAL136;136.0;15/12/2023
BOVAL36;116.0;15/12/2023
BOVAL80;80.0;15/12/2023
BOVAL830;83.0;15/12/2023
BOVAL890;89.0;15/12/2023
BOVAL91;101.0;15/12/2023
BOVAX113;113.0;15/12/2023
BOVAX136;136.0;15/12/2023
BOVAX36;116.0;15/12/2023
BOVAX80;80.0;15/12/2023
BOVAX830;83.0;15/12/2023
BOVAX890;89.0;15/12/2023
BOVAX91;101.0;15/12/2023
BOVAL855;77.0;15/12/2023
BOVAL835;75.0;15/12/2023
BOVAX829;70.0;15/12/2023
BOVAX835;75.0;15/12/2023
BOVAX855;77.0;15/12/2023
BOVAX265;100.0;15/12/2023
BOVAX84;84.0;15/12/2023
BOVAX850;85.0;15/12/2023
BOVAX860;86.0;15/12/2023
BOVAX87;87.0;15/12/2023
BOVAX880;88.0;15/12/2023
BOVAX895;89.5;15/12/2023
BOVAX90;90.0;15/12/2023
BOVAX910;91.0;15/12/2023
BOVAX133;133.0;15/12/2023
BOVAX92;112.0;15/12/2023
BOVAX93;93.0;15/12/2023
BOVAX940;94.0;15/12/2023
BOVAX950;95.0;15/12/2023
BOVAX96;96.0;15/12/2023
BOVAX970;97.0;15/12/2023
BOVAX980;98.0;15/12/2023
BOVAX99;99.0;15/12/2023
